REGION,STATE,CITY,POPULATION
Midwest,Minnesota,"Carlton, MN",1031
Pacific,Oregon,"Donald, OR",1031
South,Florida,"Waldo, FL",1030
Midwest,Kansas,"Solomon, KS",1028
South,Arkansas,"Coal Hill, AR",1026
Midwest,Minnesota,"Keewatin, MN",1026
South,Texas,"Robert Lee, TX",1026
Midwest,Kansas,"Altamont, KS",1025
South,Kentucky,"Wurtland, KY",1025
Pacific,Oregon,"Island City, OR",1025
Mountain,Idaho,"Plummer, ID",1024
South,Texas,"Riesel, TX",1024
Midwest,Minnesota,"East Gull Lake, MN",1022
Mountain,Montana,"Scobey, MT",1022
Pacific,Oregon,"Aurora, OR",1020
Midwest,Minnesota,"Taylors Falls, MN",1018
South,Arkansas,"Parkin, AR",1017
South,Texas,"Red Lick, TX",1016
South,Oklahoma,"Oilton, OK",1015
South,Texas,"St. Jo, TX",1015
Pacific,Washington,"Rock Island, WA",1015
Pacific,Alaska,"King Cove, AK",1014
Midwest,Kansas,"Overbrook, KS",1014
Mountain,Colorado,"Ouray, CO",1013
South,Georgia,"Fort Gaines, GA",1013
Midwest,Kansas,"Oxford, KS",1012
Midwest,North Dakota,"Thompson, ND",1010
South,Florida,"Fanning Springs, FL",1009
Midwest,Kansas,"Caldwell, KS",1009
Midwest,Kansas,"Nickerson, KS",1009
Midwest,Nebraska,"Loup City, NE",1009
Midwest,Iowa,"De Soto, IA",1008
Midwest,Iowa,"Eddyville, IA",1008
Midwest,Iowa,"Rockwell, IA",1008
Midwest,Missouri,"Highlandville, MO",1008
Midwest,South Dakota,"Hill City, SD",1008
Midwest,South Dakota,"Parker, SD",1008
Midwest,North Dakota,"Linton, ND",1007
South,Texas,"Wink, TX",1006
South,Arkansas,"Mount Ida, AR",1005
Midwest,Kansas,"Highland, KS",1005
Midwest,Kansas,"Lyndon, KS",1005
Midwest,Wisconsin,"Greenwood, WI",1005
Midwest,Illinois,"Greenfield, IL",1004
Midwest,Iowa,"North English, IA",1004
Midwest,Minnesota,"Baudette, MN",1004
South,Texas,"Arp, TX",1004
Midwest,Missouri,"King City, MO",1003
South,Georgia,"Reynolds, GA",1002
South,Arkansas,"Kibler, AR",1001
Pacific,Washington,"Electric City, WA",1001
South,Oklahoma,"Erick, OK",1000
South,Kentucky,"Hawesville, KY",999
Midwest,Minnesota,"Harmony, MN",999
Midwest,Minnesota,"Parkers Prairie, MN",999
Pacific,Washington,"North Bonneville, WA",999
Midwest,Kansas,"Quinter, KS",998
Midwest,Missouri,"Gideon, MO",998
Midwest,Kansas,"Andale, KS",997
South,Texas,"Earth, TX",996
Midwest,Iowa,"Allison, IA",995
South,Kentucky,"Rolling Hills, KY",995
Pacific,California,"Tulelake, CA",994
South,Texas,"New London, TX",994
Pacific,California,"Plymouth, CA",993
South,Kentucky,"Goshen, KY",993
South,Texas,"Sterling City, TX",993
Midwest,Minnesota,"Morristown, MN",992
Mountain,Montana,"Harlowton, MT",992
Midwest,Nebraska,"Arapahoe, NE",992
South,Texas,"Eustace, TX",992
Midwest,Iowa,"Paullina, IA",989
Midwest,Nebraska,"Henderson, NE",989
Midwest,Iowa,"Fruitland, IA",988
South,Arkansas,"Marvell, AR",986
South,Texas,"Omaha, TX",986
Midwest,Nebraska,"Friend, NE",984
South,Texas,"Lakeport, TX",984
South,Georgia,"Hagan, GA",983
South,Kentucky,"La Center, KY",982
South,Kentucky,"Langdon Place, KY",982
Midwest,Minnesota,"Buhl, MN",982
Mountain,Idaho,"Cascade, ID",981
Midwest,Minnesota,"Biwabik, MN",981
Midwest,Kansas,"Troy, KS",980
Midwest,Missouri,"Auxvasse, MO",980
Midwest,Iowa,"Gowrie, IA",979
Midwest,Iowa,"Janesville, IA",978
Midwest,Iowa,"Tabor, IA",978
South,Kentucky,"Muldraugh, KY",978
Midwest,Michigan,"Saugatuck, MI",978
Midwest,South Dakota,"Worthing, SD",978
Midwest,Iowa,"Sloan, IA",977
South,Kentucky,"Woodlawn Park, KY",977
South,Georgia,"Norman Park, GA",976
Midwest,North Dakota,"Belfield, ND",976
South,Georgia,"Roberta, GA",974
Pacific,Oregon,"Halsey, OR",974
Midwest,Missouri,"New London, MO",973
South,Texas,"Rice, TX",973
South,Georgia,"Sardis, GA",971
Midwest,Iowa,"Dunlap, IA",971
Midwest,Wisconsin,"Buffalo City, WI",971
South,Florida,"Bristol, FL",970
Midwest,Iowa,"Clarence, IA",970
Midwest,Iowa,"Swisher, IA",970
South,Texas,"Montgomery, TX",970
Midwest,Iowa,"Aurelia, IA",969
Midwest,Minnesota,"Bird Island, MN",969
South,Texas,"Mustang Ridge, TX",969
South,Texas,"Rio Vista, TX",969
Mountain,Idaho,"Genesee, ID",968
Midwest,Illinois,"Wenona, IL",968
Midwest,Kansas,"St. George, KS",968
Midwest,Kansas,"Stafford, KS",968
South,Georgia,"Shellman, GA",967
Midwest,Iowa,"Preston, IA",967
South,Kentucky,"Burgin, KY",967
Midwest,Kansas,"Blue Rapids, KS",966
Midwest,Nebraska,"Harvard, NE",966
Midwest,Iowa,"Shellsburg, IA",965
Midwest,Minnesota,"Scanlon, MN",965
Midwest,Kansas,"Kiowa, KS",964
Midwest,Iowa,"Griswold, IA",963
Midwest,Iowa,"Lawton, IA",962
Midwest,Iowa,"Treynor, IA",960
Midwest,Minnesota,"Houston, MN",960
South,Oklahoma,"Grandfield, OK",960
Pacific,Oregon,"Scio, OR",960
South,Georgia,"Franklin, GA",958
South,Oklahoma,"Medford, OK",957
