NAME,STATE,POPULATION
Pharr city,Texas,79487
Manteca city,California,79268
Alameda city,California,79177
Parma city,Ohio,79167
New Braunfels city,Texas,79152
Plymouth city,Minnesota,78395
Franklin city,Tennessee,78321
Milpitas city,California,78106
Folsom city,California,78038
Bloomington city,Illinois,77934
Perris city,California,77879
Bellflower city,California,77772
Boynton Beach city,Florida,77702
Scranton city,Pennsylvania,77605
Racine city,Wisconsin,77542
Lake Charles city,Louisiana,77117
Upland city,California,76999
Baytown city,Texas,76804
Loveland city,Colorado,76701
Layton city,Utah,76691
Hammond city,Indiana,76618
Gastonia city,North Carolina,76593
St. Joseph city,Missouri,76442
Baldwin Park city,California,76402
Gary city,Indiana,76008
Wyoming city,Michigan,75938
San Ramon city,California,75931
Jonesboro city,Arkansas,75866
Kalamazoo city,Michigan,75807
Iowa City city,Iowa,75798
Bethlehem city,Pennsylvania,75707
Cedar Park city,Texas,75704
Union City city,California,75343
Warner Robins city,Georgia,74854
Evanston city,Illinois,74756
Appleton city,Wisconsin,74653
Camden city,New Jersey,74532
Temple city,Texas,74503
Missouri City city,Texas,74497
Rapid City city,South Dakota,74421
Rochester Hills city,Michigan,74205
Rancho Cordova city,California,73563
Turlock city,California,73556
Missoula city,Montana,73340
Southfield city,Michigan,73208
Albany city,Georgia,73179
Rock Hill city,South Carolina,73068
Pasco city,Washington,73013
Bismarck city,North Dakota,72865
New Britain city,Connecticut,72710
Waukesha city,Wisconsin,72489
Jacksonville city,North Carolina,72447
Lafayette city,Indiana,72390
Decatur city,Illinois,72174
Pittsburg city,California,72141
Pawtucket city,Rhode Island,72001
Flagstaff city,Arizona,71975
Lauderhill city,Florida,71970
Gulfport city,Mississippi,71822
Redlands city,California,71554
Frederick city,Maryland,71408
Passaic city,New Jersey,71247
Wilmington city,Delaware,71106
Kissimmee city,Florida,71104
Lynwood city,California,71099
Maple Grove city,Minnesota,71066
South Jordan city,Utah,70954
Weston city,Florida,70944
Canton city,Ohio,70909
Georgetown city,Texas,70685
North Richland Hills city,Texas,70441
Union City city,New Jersey,70387
St. Charles city,Missouri,70329
Homestead city,Florida,69907
Walnut Creek city,California,69773
Woodbury city,Minnesota,69756
Davis city,California,68986
Mansfield city,Texas,68928
Marysville city,Washington,68864
Delray Beach city,Florida,68749
Gaithersburg city,Maryland,68710
Mount Vernon city,New York,68703
Muncie city,Indiana,68625
Eau Claire city,Wisconsin,68587
Bossier City city,Louisiana,68554
Buckeye city,Arizona,68453
Rockville city,Maryland,68401
Broomfield city,Colorado,68341
Yorba Linda city,California,68229
Greenville city,South Carolina,68219
Dothan city,Alabama,68202
Daytona Beach city,Florida,68055
St. Cloud city,Minnesota,67984
Redondo Beach city,California,67908
Camarillo city,California,67845
Waterloo city,Iowa,67587
Kenner city,Louisiana,67451
South San Francisco city,California,67429
Bayonne city,New Jersey,67186
Palo Alto city,California,67178
Victoria city,Texas,67106
Bowling Green city,Kentucky,67067
Portland city,Maine,66882
Yuba City city,California,66860
Jackson city,Tennessee,66847
Oshkosh city,Wisconsin,66665
Eagan city,Minnesota,66627
Ames city,Iowa,66498
Rogers city,Arkansas,66430
Lake Elsinore city,California,66411
Johnson City city,Tennessee,66391
Laguna Niguel city,California,66334
North Port city,Florida,66300
North Little Rock city,Arkansas,65911
Lodi city,California,65884
Alpharetta city,Georgia,65799
Conway city,Arkansas,65782
Tamarac city,Florida,65669
Schenectady city,New York,65625
West Des Moines city,Iowa,65608
Shawnee city,Kansas,65513
Madera city,California,65508
Harlingen city,Texas,65467
East Orange city,New Jersey,65378
San Clemente city,California,65267
Santa Cruz city,California,65021
Rocklin city,California,64838
Youngstown city,Ohio,64604
Blaine city,Minnesota,64557
Sammamish city,Washington,64548
Eden Prairie city,Minnesota,64400
Janesville city,Wisconsin,64359
Redmond city,Washington,64291
Auburn city,Alabama,63973
Tulare city,California,63855
Lorain city,Ohio,63841
Lakeville city,Minnesota,63748
Haverhill city,Massachusetts,63639
Cheyenne city,Wyoming,63624
Pico Rivera city,California,63522
Pflugerville city,Texas,63359
Eastvale city,California,63211
Port Orange city,Florida,63203
Montebello city,California,63192
Encinitas city,California,63184
San Marcos city,Texas,63071
Rowlett city,Texas,62868
Lehi city,Utah,62712
Coon Rapids city,Minnesota,62656
Grand Junction city,Colorado,62475
La Habra city,California,62466
Waltham city,Massachusetts,62442
Brentwood city,California,62433
Ankeny city,Iowa,62416
Springfield city,Oregon,62353
Council Bluffs city,Iowa,62316
North Miami city,Florida,62225
Hamilton city,Ohio,62092
Noblesville city,Indiana,61882
Moore city,Oklahoma,61523
Burnsville city,Minnesota,61439
National City city,California,61363
Taylor city,Michigan,61276
Malden city,Massachusetts,61246
Doral city,Florida,61130
Idaho Falls city,Idaho,61076
Marietta city,Georgia,61048
Monterey Park city,California,61044
Coconut Creek city,Florida,61010
Dublin city,California,60939
Petaluma city,California,60870
Cupertino city,California,60777
Terre Haute city,Indiana,60774
Utica city,New York,60635
Vineland city,New Jersey,60392
Lakewood city,Washington,60296
Gardena city,California,60224
Bristol city,Connecticut,60223
Millcreek city,Utah,60192
La Mesa city,California,60021
Woodland city,California,60012
Taylorsville city,Utah,59992
West Allis city,Wisconsin,59934
Meriden city,Connecticut,59927
Pontiac city,Michigan,59792
Novi city,Michigan,59715
Lancaster city,Pennsylvania,59708
St. Clair Shores city,Michigan,59635
Owensboro city,Kentucky,59404
Sanford city,Florida,59317
Springfield city,Ohio,59208
Porterville city,California,59145
Royal Oak city,Michigan,59112
Ocala city,Florida,59110
Bartlett city,Tennessee,59102
San Rafael city,California,59070
White Plains city,New York,59047
Great Falls city,Montana,58876
Bowie city,Maryland,58859
Huntington Park city,California,58822
Arcadia city,California,58799
Margate city,Florida,58430
Dubuque city,Iowa,58276
Des Plaines city,Illinois,58193
Santee city,California,58113
Corvallis city,Oregon,57961
Kokomo city,Indiana,57836
Casper city,Wyoming,57814
Medford city,Massachusetts,57797
Gilroy city,California,57664
Hendersonville city,Tennessee,57517
Greenwood city,Indiana,57375
Midwest City city,Oklahoma,57308
St. Peters city,Missouri,57178
Taunton city,Massachusetts,57139
New Brunswick city,New Jersey,57073
Grand Forks city,North Dakota,57056
Sarasota city,Florida,56994
Smyrna city,Georgia,56685
Diamond Bar city,California,56665
Weymouth Town city,Massachusetts,56664
Bradenton city,Florida,56508
Hanford city,California,56499
Fountain Valley city,California,56313
Richland city,Washington,56243
Shoreline city,Washington,56189
Bonita Springs city,Florida,56088
Valdosta city,Georgia,56085
Novato city,California,55980
Commerce City city,Colorado,55923
Dearborn Heights city,Michigan,55758
Berwyn city,Illinois,55550
Chicopee city,Massachusetts,55515
Port Arthur city,Texas,55498
Casa Grande city,Arizona,55477
Highland city,California,55342
Pocatello city,Idaho,55193
Kettering city,Ohio,55175
Euless city,Texas,55174
Hoboken city,New Jersey,55131
Anderson city,Indiana,55076
Palm Beach Gardens city,Florida,55036
Blue Springs city,Missouri,54945
Paramount city,California,54909
West Haven city,Connecticut,54843
Manhattan city,Kansas,54832
Colton city,California,54828
Carson City,Nevada,54745
Caldwell city,Idaho,54660
Cathedral City city,California,54596
Rosemead city,California,54554
Rocky Mount city,North Carolina,54523
Stonecrest city,Georgia,54471
Lake Havasu City city,Arizona,54411
Decatur city,Alabama,54405
Harrisonburg city,Virginia,54215
Watsonville city,California,54098
Southaven city,Mississippi,54031
Revere city,Massachusetts,53993
Grapevine city,Texas,53982
Elyria city,Ohio,53883
Yucaipa city,California,53683
DeSoto city,Texas,53568
Lenexa city,Kansas,53553
Brookhaven city,Georgia,53518
West Sacramento city,California,53512
Albany city,Oregon,53503
Bellevue city,Nebraska,53424
Kingsport city,Tennessee,53374
Wheaton city,Illinois,53373
Tigard city,Oregon,53148
Delano city,California,53138
Minnetonka city,Minnesota,53085
Burlington city,North Carolina,53077
Peabody city,Massachusetts,52987
Palm Desert city,California,52932
Pinellas Park city,Florida,52854
Perth Amboy city,New Jersey,52823
Pensacola city,Florida,52590
Elkhart city,Indiana,52558
Glendora city,California,52445
Apple Valley city,Minnesota,52435
Joplin city,Missouri,52288
Placentia city,California,52157
Edina city,Minnesota,51958
La Crosse city,Wisconsin,51834
Kentwood city,Michigan,51747
Aliso Viejo city,California,51671
Burien city,Washington,51671
Olympia city,Washington,51609
Apopka city,Florida,51564
Florissant city,Missouri,51443
Grand Island city,Nebraska,51390
Plainfield city,New Jersey,51327
Battle Creek city,Michigan,51286
St. Cloud city,Florida,51282
Logan city,Utah,51115
Coral Gables city,Florida,51095
Cerritos city,California,51020
Coeur d'Alene city,Idaho,50665
Galveston city,Texas,50497
Methuen Town city,Massachusetts,50259
Lakewood city,Ohio,50249
Enid city,Oklahoma,50122
Poway city,California,50041
Azusa city,California,49864
Stillwater city,Oklahoma,49829
Wylie city,Texas,49826
Lacey city,Washington,49748
Dunwoody city,Georgia,49609
Troy city,New York,49565
Bedford city,Texas,49486
Newark city,Ohio,49423
Wilson city,North Carolina,49348
Bentonville city,Arkansas,49298
Murray city,Utah,49295
Cuyahoga Falls city,Ohio,49247
Leander city,Texas,49234
Twin Falls city,Idaho,49202
Harrisburg city,Pennsylvania,49192
Mishawaka city,Indiana,49177
La Mirada city,California,49095
Cypress city,California,49064
St. Louis Park city,Minnesota,49029
Madison city,Alabama,48861
East Lansing city,Michigan,48844
Middletown city,Ohio,48823
Portage city,Michigan,48816
Kannapolis city,North Carolina,48806
Rancho Santa Margarita city,California,48793
Cedar Hill city,Texas,48710
Lawrence city,Indiana,48704
Ceres city,California,48697
Saginaw city,Michigan,48677
Texas City city,Texas,48558
Covina city,California,48462
Niagara Falls city,New York,48460
Monroe city,Louisiana,48371
Sheboygan city,Wisconsin,48329
Wauwatosa city,Wisconsin,48277
San Jacinto city,California,48254
Palm Springs city,California,48142
Charlottesville city,Virginia,48019
Maricopa city,Arizona,48007
Charleston city,West Virginia,47929
Minot city,North Dakota,47822
Roswell city,New Mexico,47775
Littleton city,Colorado,47734
Draper city,Utah,47710
Lincoln city,California,47674
Dublin city,Ohio,47619
East Providence city,Rhode Island,47600
Chesterfield city,Missouri,47588
San Luis Obispo city,California,47541
Newark city,California,47531
Roseville city,Michigan,47501
Jeffersonville city,Indiana,47383
Alexandria city,Louisiana,47334
Keller city,Texas,47266
Euclid city,Ohio,47201
Columbus city,Indiana,47143
Mentor city,Ohio,47121
Huntington city,West Virginia,47079
Salina city,Kansas,46994
Beaumont city,California,46967
Beavercreek city,Ohio,46948
Elmhurst city,Illinois,46662
Bozeman city,Montana,46596
Little Elm city,Texas,46548
Middletown city,Connecticut,46478
Ocoee city,Florida,46402
Hattiesburg city,Mississippi,46377
Everett city,Massachusetts,46324
West Lafayette city,Indiana,46269
Titusville city,Florida,46263
Mansfield city,Ohio,46160
Burleson city,Texas,46145
Biloxi city,Mississippi,45908
Fort Pierce city,Florida,45581
Bothell city,Washington,45533
Farmington city,New Mexico,45450
Coachella city,California,45443
Hackensack city,New Jersey,45248
Binghamton city,New York,45179
Morgan Hill city,California,45037
Oakland Park city,Florida,45035
Strongsville city,Ohio,44744
Attleboro city,Massachusetts,44590
Cleveland Heights city,Ohio,44562
Cleveland city,Tennessee,44483
Haltom City city,Texas,44417
El Centro city,California,44364
Altamonte Springs city,Florida,44277
Rockwall city,Texas,44208
North Lauderdale city,Florida,44198
Barnstable Town city,Massachusetts,44163
York city,Pennsylvania,44132
North Miami Beach city,Florida,44124
Bountiful city,Utah,44107
Altoona city,Pennsylvania,44098
Urbandale city,Iowa,43592
Lompoc city,California,43542
Winter Garden city,Florida,43536
Kyle city,Texas,43480
Salem city,Massachusetts,43415
Riverton city,Utah,43344
San Bruno city,California,43299
Peachtree Corners city,Georgia,43268
DeKalb city,Illinois,43193
Moorhead city,Minnesota,43122
Linden city,New Jersey,43056
Concord city,New Hampshire,43019
Pine Bluff city,Arkansas,42984
Sierra Vista city,Arizona,42912
Jefferson City city,Missouri,42895
Rohnert Park city,California,42838
Ormond Beach city,Florida,42816
Fond du Lac city,Wisconsin,42809
Brea city,California,42777
Bell Gardens city,California,42747
Prescott city,Arizona,42731
The Colony city,Texas,42721
Brentwood city,Tennessee,42667
Goose Creek city,South Carolina,42619
Pittsfield city,Massachusetts,42591
Fairfield city,Ohio,42566
Rancho Palos Verdes city,California,42364
Mankato city,Minnesota,42264
Burlington city,Vermont,42239
Moline city,Illinois,42231
Edmonds city,Washington,42209
Urbana city,Illinois,41989
Midland city,Michigan,41950
Coppell city,Texas,41941
Sherman city,Texas,41917
Beverly city,Massachusetts,41816
Woonsocket city,Rhode Island,41759
Oakley city,California,41714
Westfield city,Massachusetts,41700
Belleville city,Illinois,41649
Leominster city,Massachusetts,41615
Cedar Falls city,Iowa,41570
Campbell city,California,41544
Manassas city,Virginia,41501
Shelton city,Connecticut,41397
Findlay city,Ohio,41321
La Quinta city,California,41304
Winter Haven city,Florida,41280
Huntsville city,Texas,41277
Danville city,Virginia,41130
Bremerton city,Washington,41041
Grove City city,Ohio,41022
Puyallup city,Washington,41001
Maplewood city,Minnesota,40918
Shakopee city,Minnesota,40893
Wilkes-Barre city,Pennsylvania,40806
Fitchburg city,Massachusetts,40793
Oviedo city,Florida,40785
Hutchinson city,Kansas,40772
Greenacres city,Florida,40719
Hickory city,North Carolina,40611
Brighton city,Colorado,40562
Apache Junction city,Arizona,40538
San Gabriel city,California,40514
Covington city,Kentucky,40455
Crystal Lake city,Illinois,40421
Gainesville city,Georgia,40359
Weslaco city,Texas,40358
Calexico city,California,40351
Holyoke city,Massachusetts,40341
La Puente city,California,40322
Hagerstown city,Maryland,40306
Quincy city,Illinois,40303
Lancaster city,Ohio,40280
Bullhead City city,Arizona,40252
Chelsea city,Massachusetts,40227
Schertz city,Texas,40092
Sumter city,South Carolina,39982
Marlborough city,Massachusetts,39873
Florence city,Alabama,39852
Friendswood city,Texas,39839
Hallandale Beach city,Florida,39831
New Berlin city,Wisconsin,39740
Westerville city,Ohio,39737
Woburn city,Massachusetts,39701
Spring Hill city,Tennessee,39602
Warren city,Ohio,39562
Westfield city,Indiana,39493
Duncanville city,Texas,39487
Norwich city,Connecticut,39470
Spanish Fork city,Utah,39443
Wentzville city,Missouri,39414
Marion city,Iowa,39400
Lancaster city,Texas,39386
Annapolis city,Maryland,39321
Keizer city,Oregon,39315
Culver City city,California,39283
Montclair city,California,39276
Delaware city,Ohio,39267
Herriman city,Utah,39224
Lake Oswego city,Oregon,39196
Los Banos city,California,39183
Cape Girardeau city,Missouri,39151
Germantown city,Tennessee,39141
Pacifica city,California,39087
Hurst city,Texas,39051
Clovis city,New Mexico,38962
Northglenn city,Colorado,38928
Milton city,Georgia,38924
Newnan city,Georgia,38909
Pleasant Grove city,Utah,38845
Wausau city,Wisconsin,38739
Plant City city,Florida,38714
Roy city,Utah,38595
Stanton city,California,38528
